Sequence1,Sequence2,Time_Seconds
6,65,0.13636
6,66,0.119824
6,67,0.169501
6,68,0.13035
6,69,0.121914
6,70,0.138409
6,71,0.128138
6,72,0.125573
6,73,0.180036
6,74,0.244041
6,75,0.123888
6,76,0.117077
6,77,0.124488
6,78,0.101634
6,79,0.128377
6,80,0.117077
6,81,0.12909
6,82,0.118825
6,83,0.148755
6,84,0.111696
6,85,0.114578
6,86,0.130537
6,87,0.122897
6,88,0.112364
6,89,0.108616
6,90,0.11311
6,91,0.118189
6,92,0.150831
6,93,0.09996
6,94,0.100548
6,95,0.109535
6,96,0.115602
6,97,0.124004
6,98,0.116463
6,99,0.119106
6,100,0.109453
6,101,0.156207
6,102,0.08952
6,103,0.106255
6,104,0.064829
6,105,0.050566
6,106,0.045702
6,107,0.064756
6,108,0.052356
6,109,0.058845
6,110,0.063664
6,111,0.063718
6,112,0.073839
6,113,0.059893
6,114,0.056026
6,115,0.06182
6,116,0.072488
6,117,0.075296
6,118,0.062801
6,119,0.049518
6,120,0.066769
6,121,0.104048
6,122,0.053494
6,123,0.058912
6,124,0.02668
6,125,0.023497
6,126,0.016448
6,127,0.017481
6,128,0.015524
6,129,0.079026
6,130,0.046217
6,131,0.059733
6,132,0.06455
6,133,0.051622
6,134,0.063471
6,135,0.062222
6,136,0.107593
6,137,0.063791
6,138,0.059616
6,139,0.0475
6,140,0.063002
6,141,0.062905
6,142,0.068923
6,143,0.064629
6,144,0.047551
6,145,0.052456
6,146,0.060774
6,147,0.0705
6,148,0.076469
6,149,0.075504
6,150,0.050353
6,151,0.059506
6,152,0.058413
6,153,0.034295
6,154,0.145803
6,155,0.025807
6,156,0.062945
6,157,0.11225
6,158,0.066437
6,159,0.065216
6,160,0.076868
6,161,0.069866
6,162,0.047897
6,163,0.052813
6,164,0.05059
6,165,0.079997
6,166,0.048018
6,167,0.045073
6,168,0.039873
6,169,0.116394
6,170,0.05308
6,171,0.050794
6,172,0.036038
6,173,0.045977
6,174,0.048128
6,175,0.057012
6,176,0.090889
6,177,0.051894
6,178,0.051547
6,179,0.049668
6,180,0.048865
6,181,0.049534
7,8,0.134889
7,9,0.164654
7,10,0.167826
7,11,0.181838
7,12,0.159704
7,13,0.159569
7,14,0.139941
7,15,0.137844
7,16,0.135483
7,17,0.237325
7,18,0.189918
7,19,0.170968
7,20,0.14094
7,21,0.121968
7,22,0.135639
7,23,0.132439
7,24,0.168409
7,25,0.151128
7,26,0.150672
7,27,0.123326
7,28,0.17682
7,29,0.163846
7,30,0.149855
7,31,0.17615
7,32,0.135092
7,33,0.130592
7,34,0.15345
7,35,0.193346
7,36,0.148814
7,37,0.16295
7,38,0.167851
7,39,0.183552
7,40,0.166071
7,41,0.135768
7,42,0.146891
7,43,0.18044
7,44,0.122586
7,45,0.163814
7,46,0.150095
7,47,0.11623
7,48,0.136723
7,49,0.229562
7,50,0.128495
7,51,0.110643
7,52,0.153034
7,53,0.121896
7,54,0.137432
7,55,0.145923
7,56,0.131475
7,57,0.126694
7,58,0.12695
7,59,0.123333
7,60,0.174222
7,61,0.135037
7,62,0.134115
7,63,0.154537
7,64,0.137206
7,65,0.166394
7,66,0.125004
7,67,0.141578
7,68,0.140896
7,69,0.14647
7,70,0.133162
7,71,0.168371
7,72,0.135412
7,73,0.117642
7,74,0.129724
7,75,0.164895
7,76,0.132081
7,77,0.119647
7,78,0.100658
7,79,0.150507
7,80,0.170055
7,81,0.146547
7,82,0.131904
7,83,0.170131
7,84,0.166297
7,85,0.117366
7,86,0.176823
7,87,0.152513
7,88,0.117634
7,89,0.132701
7,90,0.164116
7,91,0.117632
7,92,0.102587
7,93,0.13067
7,94,0.129098
7,95,0.110808
7,96,0.14733
7,97,0.146685
7,98,0.170731
7,99,0.094728
7,100,0.134097
7,101,0.167201
7,102,0.133411
7,103,0.152346
7,104,0.080719
7,105,0.070553
7,106,0.079999
7,107,0.100764
7,108,0.083421
7,109,0.063918
7,110,0.07084
